Time,Day Type,Season,Work Hours,Outdoor Temp [°C],Humidity [%],Energy Consumption [kW],Lighting [kW],Computers [kW],HVAC [kW],Employees Present
2023-01-01 00:00:00,Weekend,Winter,False,7.0,63.962831965670475,10.1,1.8,2.3,4.5,7
2023-01-01 01:00:00,Weekend,Winter,False,1.1,57.141971804117524,25.3,5.0,5.2,10.9,6
2023-01-01 02:00:00,Weekend,Winter,False,2.3,37.24140149329919,30.3,4.7,7.7,14.0,2
2023-01-01 03:00:00,Weekend,Winter,False,7.6,47.469304778694074,32.3,4.4,8.6,14.0,8
2023-01-01 04:00:00,Weekend,Winter,False,7.0,53.93353815031281,45.8,5.6,11.4,20.2,2
2023-01-01 05:00:00,Weekend,Winter,False,0.5,40.58274797146688,14.6,1.6,3.5,5.2,0
2023-01-01 06:00:00,Weekend,Winter,False,3.0,61.53319690624333,-2.7,-0.4,-0.7,-1.2,5
2023-01-01 07:00:00,Weekend,Winter,False,8.8,48.75254541497731,21.0,3.3,5.3,6.4,5
2023-01-01 08:00:00,Weekend,Winter,False,7.0,64.9804218307354,32.3,5.6,9.6,11.2,7
2023-01-01 09:00:00,Weekend,Winter,False,4.3,54.20077579521081,31.6,6.2,6.8,13.7,4
2023-01-01 10:00:00,Weekend,Winter,False,6.3,43.40861070549159,45.8,7.7,11.2,19.8,8
2023-01-01 11:00:00,Weekend,Winter,False,5.3,47.26790519337019,44.5,6.0,11.4,14.9,5
2023-01-01 12:00:00,Weekend,Winter,False,3.4,50.83091068832086,4.1,0.4,1.0,1.3,5
2023-01-01 13:00:00,Weekend,Winter,False,3.1,42.12649524609981,39.7,7.9,10.8,14.9,4
2023-01-01 14:00:00,Weekend,Winter,False,10.1,60.09301620200488,9.9,1.8,2.3,3.7,8
2023-01-01 15:00:00,Weekend,Winter,False,3.3,38.10287857228564,4.0,0.5,1.0,1.9,6
2023-01-01 16:00:00,Weekend,Winter,False,5.6,41.22203126975219,46.6,8.6,13.4,16.9,6
2023-01-01 17:00:00,Weekend,Winter,False,-0.4,45.55340071169876,43.0,6.6,10.5,13.1,6
2023-01-01 18:00:00,Weekend,Winter,False,12.4,57.63950411118861,5.7,1.1,1.6,2.7,5
2023-01-01 19:00:00,Weekend,Winter,False,11.0,63.55141711717879,24.4,4.9,5.4,10.6,5
2023-01-01 20:00:00,Weekend,Winter,False,2.5,64.89863111932576,52.8,7.3,13.5,21.4,1
2023-01-01 21:00:00,Weekend,Winter,False,8.4,57.855350628978364,25.8,3.1,6.9,8.1,5
2023-01-01 22:00:00,Weekend,Winter,False,8.6,44.693337808645516,27.6,4.8,6.1,10.3,8
2023-01-01 23:00:00,Weekend,Winter,False,3.4,32.849881795547596,61.5,7.6,14.2,26.0,4
2023-01-02 00:00:00,Weekday,Winter,False,7.1,58.489148226208854,61.1,6.8,17.4,29.6,3
2023-01-02 01:00:00,Weekday,Winter,False,1.2,62.393739645829164,61.1,8.0,14.4,25.3,5
2023-01-02 02:00:00,Weekday,Winter,False,5.3,44.52636883361504,39.8,6.3,10.4,18.2,8
2023-01-02 03:00:00,Weekday,Winter,False,6.7,65.52526598639992,30.6,5.0,8.3,11.5,6
2023-01-02 04:00:00,Weekday,Winter,False,5.8,48.97957612320814,63.8,8.6,15.0,29.7,7
2023-01-02 05:00:00,Weekday,Winter,False,5.6,45.45894498357093,28.3,5.0,6.2,11.2,6
2023-01-02 06:00:00,Weekday,Winter,False,3.8,49.8052900559265,60.2,7.0,17.9,20.1,4
2023-01-02 07:00:00,Weekday,Winter,False,5.7,42.147307093843175,62.0,9.0,13.7,19.4,5
2023-01-02 08:00:00,Weekday,Winter,False,7.0,36.0827762022502,35.7,6.8,10.1,12.5,2
2023-01-02 09:00:00,Weekday,Winter,True,1.0,38.45237276761965,180.9,28.2,52.0,56.6,42
2023-01-02 10:00:00,Weekday,Winter,True,5.0,52.566224466587926,202.1,35.6,54.5,65.0,44
2023-01-02 11:00:00,Weekday,Winter,True,7.7,41.29476427274559,172.4,33.9,41.1,70.5,49
2023-01-02 12:00:00,Weekday,Winter,True,12.2,64.01431172859466,244.9,28.7,65.0,119.3,50
2023-01-02 13:00:00,Weekday,Winter,True,12.1,51.852367174416365,229.9,39.0,60.9,102.4,41
2023-01-02 14:00:00,Weekday,Winter,True,3.4,45.91814409583774,226.6,41.8,65.2,93.9,52
2023-01-02 15:00:00,Weekday,Winter,True,6.4,36.82282038789048,199.5,20.5,46.4,99.7,18
2023-01-02 16:00:00,Weekday,Winter,True,6.2,40.044892529421254,180.1,20.6,49.5,77.9,57
2023-01-02 17:00:00,Weekday,Winter,False,-1.2,52.00915720818475,15.4,2.8,4.6,5.8,4
2023-01-02 18:00:00,Weekday,Winter,False,2.8,56.065283941773195,19.7,3.6,4.9,6.9,3
2023-01-02 19:00:00,Weekday,Winter,False,0.7,30.0,70.2,12.4,16.9,32.2,7
2023-01-02 20:00:00,Weekday,Winter,False,4.2,33.74979659835411,77.8,8.7,17.3,26.4,3
2023-01-02 21:00:00,Weekday,Winter,False,5.3,51.512914018795165,23.1,2.6,5.0,11.4,6
2023-01-02 22:00:00,Weekday,Winter,False,4.0,48.0437664401472,64.0,9.3,18.9,30.5,5
2023-01-02 23:00:00,Weekday,Winter,False,4.8,55.025483688739136,104.1,15.4,24.8,36.6,6
2023-01-03 00:00:00,Weekday,Winter,False,3.4,46.06092645855878,54.5,6.1,15.3,21.7,4
2023-01-03 01:00:00,Weekday,Winter,False,5.5,53.43033205666467,39.4,7.6,8.9,18.2,3
2023-01-03 02:00:00,Weekday,Winter,False,4.8,54.21663095329702,47.4,7.7,12.0,19.1,5
2023-01-03 03:00:00,Weekday,Winter,False,1.8,53.49754989206783,51.6,6.7,12.2,25.3,5
2023-01-03 04:00:00,Weekday,Winter,False,12.4,58.932392885495254,45.0,8.7,11.5,17.8,2
2023-01-03 05:00:00,Weekday,Winter,False,6.0,53.99230810630465,42.4,7.7,12.0,18.9,6
2023-01-03 06:00:00,Weekday,Winter,False,7.7,33.10582415125957,9.5,1.9,2.1,4.2,4
2023-01-03 07:00:00,Weekday,Winter,False,2.6,59.78732639824995,52.4,6.3,12.3,18.5,5
2023-01-03 08:00:00,Weekday,Winter,False,3.7,80.0,68.1,11.5,18.1,27.8,2
2023-01-03 09:00:00,Weekday,Winter,True,4.1,44.81836297852672,217.3,41.5,61.0,67.8,42
2023-01-03 10:00:00,Weekday,Winter,True,8.5,41.97939994984895,164.7,32.5,36.4,64.4,42
2023-01-03 11:00:00,Weekday,Winter,True,2.9,45.0165108474045,213.7,37.7,45.6,106.6,49
2023-01-03 12:00:00,Weekday,Winter,True,3.3,44.18375053290578,203.9,28.1,42.6,98.6,74
2023-01-03 13:00:00,Weekday,Winter,True,0.8,46.84810979748238,185.8,21.2,47.1,86.5,56
2023-01-03 14:00:00,Weekday,Winter,True,8.3,53.10891839081791,199.4,39.1,46.6,98.9,40
2023-01-03 15:00:00,Weekday,Winter,True,0.2,61.38787002298892,186.9,26.3,37.5,66.9,35
2023-01-03 16:00:00,Weekday,Winter,True,-1.5,35.386366144312575,216.0,23.2,64.3,71.4,43
2023-01-03 17:00:00,Weekday,Winter,False,6.2,48.99936195670685,48.3,6.3,12.9,17.0,5
2023-01-03 18:00:00,Weekday,Winter,False,2.5,50.673992780518695,62.0,8.7,13.4,29.2,6
2023-01-03 19:00:00,Weekday,Winter,False,6.7,41.051074761110286,61.5,10.8,13.0,30.3,3
2023-01-03 20:00:00,Weekday,Winter,False,5.3,55.92588648321501,30.5,4.1,9.0,10.0,6
2023-01-03 21:00:00,Weekday,Winter,False,1.6,46.844899411277005,30.5,5.1,8.3,10.9,7
2023-01-03 22:00:00,Weekday,Winter,False,3.2,69.46416269053839,36.8,4.0,9.9,11.1,3
2023-01-03 23:00:00,Weekday,Winter,False,2.5,58.394274982174835,45.2,4.9,11.5,14.4,6
2023-01-04 00:00:00,Weekday,Winter,False,2.8,37.10795137876896,79.8,9.5,23.8,37.3,4
2023-01-04 01:00:00,Weekday,Winter,False,0.3,34.816478649035744,55.6,7.2,12.1,27.3,5
2023-01-04 02:00:00,Weekday,Winter,False,4.0,68.7093532173829,57.9,11.1,17.0,28.9,5
2023-01-04 03:00:00,Weekday,Winter,False,7.1,53.66229864871297,54.7,6.0,12.3,19.0,5
2023-01-04 04:00:00,Weekday,Winter,False,11.9,59.86278626830542,73.9,7.7,20.3,22.8,4
2023-01-04 05:00:00,Weekday,Winter,False,3.9,66.47893339224592,51.1,5.8,14.2,23.2,5
2023-01-04 06:00:00,Weekday,Winter,False,5.1,42.64946578209817,42.4,6.3,9.3,15.4,4
2023-01-04 07:00:00,Weekday,Winter,False,3.6,54.53879390049867,44.0,7.9,11.7,19.4,5
2023-01-04 08:00:00,Weekday,Winter,False,3.1,53.43256891033197,68.4,13.5,17.1,24.8,3
2023-01-04 09:00:00,Weekday,Winter,True,2.9,42.321543988629834,244.7,31.7,55.6,113.4,49
2023-01-04 10:00:00,Weekday,Winter,True,5.2,42.576675501744305,194.4,30.6,52.5,89.6,40
2023-01-04 11:00:00,Weekday,Winter,True,8.6,55.47793733336746,197.9,32.7,47.6,65.3,37
2023-01-04 12:00:00,Weekday,Winter,True,5.5,36.92445851354086,195.0,37.2,40.9,72.4,38
2023-01-04 13:00:00,Weekday,Winter,True,4.5,44.651927521910295,190.4,32.9,48.2,91.4,45
2023-01-04 14:00:00,Weekday,Winter,True,6.3,53.98123749952707,224.9,25.5,61.9,96.2,49
2023-01-04 15:00:00,Weekday,Winter,True,4.0,50.568283402668506,216.8,35.7,58.5,87.1,42
2023-01-04 16:00:00,Weekday,Winter,True,4.7,59.99781138402867,202.3,32.5,44.2,93.2,48
2023-01-04 17:00:00,Weekday,Winter,False,8.0,50.78334873614352,69.1,9.5,18.6,28.5,5
2023-01-04 18:00:00,Weekday,Winter,False,8.5,54.69208520887134,69.4,9.4,17.5,26.2,4
2023-01-04 19:00:00,Weekday,Winter,False,3.2,43.474497815062776,45.4,8.6,10.3,17.3,6
2023-01-04 20:00:00,Weekday,Winter,False,7.4,50.510428050220234,40.3,4.5,8.5,12.2,7
2023-01-04 21:00:00,Weekday,Winter,False,3.9,55.13047179442423,2.4,0.3,0.7,0.8,3
