Time,Use [kW],HVAC [kW],Lighting [kW],Computers [kW],Kitchen Equipment [kW],Refrigeration [kW],Outdoor Temp [Â°C],Humidity [%],Day Type,Cloud Cover [%],Season
,68.97182522,31.97794393,13.66030767,7.657594432,2.98502954,12.69094965,-0.31398195,65.06772389,Weekend,68.82861779,
,76.65027518,38.11797789,16.63420374,7.705072547,2.608572974,11.58444803,-2.74179519,49.14537266,Weekend,52.72362872,
,75.63483338,40.7790304,17.5775694,7.521345482,1.901387832,7.855500266,-4.967908675,51.93485083,Weekend,51.52813557,
,74.094781,36.82215075,17.79039832,8.261169049,1.299500271,9.921562615,-2.615309254,47.57499271,Weekend,41.92260896,
,63.12969334,29.79679652,16.52915377,5.537516826,2.539288991,8.726937234,0.985403703,35.39415295,Weekend,55.99314338,
,60.46324684,24.95718935,15.63187922,7.661374675,1.754513342,10.45829026,-2.781561871,44.56017225,Weekend,7.98700674,
,59.04959032,28.5759694,12.48414057,9.200628292,0.98657065,7.802281408,-7.236138854,49.23611876,Weekend,0.047200914,
,68.11817733,24.72716166,15.21361786,11.33204109,2.287251214,14.5581055,-1.504479186,34.12383188,Weekend,31.80506411,
,62.30098954,27.98153597,15.35624612,7.225525294,2.337530787,9.400151364,-1.482521456,58.4917791,Weekend,84.7031858,
,65.06981096,27.34597679,17.64395583,8.491628712,0.417523223,11.1707264,-4.848888154,38.04649437,Weekend,91.69575119,
,68.69017192,32.22665384,16.84917212,7.291442895,4.305550404,8.017352667,-0.534741047,43.17985577,Weekend,92.95331769,
,70.27352469,33.09967377,14.0048177,7.515740986,3.56496151,12.08833073,0.158396957,36.82250852,Weekend,47.42014134,
,68.41818617,31.80810489,17.5716227,7.346332975,1.330501893,10.36162371,-1.969479268,69.54417656,Weekend,49.30169571,
,79.5507034,39.54120021,14.81844049,13.5280664,2.600890087,9.062106203,-6.236801221,64.91524565,Weekend,12.94003559,
,64.99391867,29.5247702,15.03235605,7.170722292,2.857550552,10.40851958,-0.010470641,40.11955092,Weekend,81.32420151,
,67.62789564,31.76442401,15.4672777,4.964817177,2.34160728,13.08976947,-0.778600286,30.24253325,Weekend,54.25246626,
,66.44440172,27.76851141,15.9538352,8.044653637,2.797349911,11.88005156,-3.262639739,32.64189827,Weekend,67.96506336,
,54.77234534,24.8052168,11.51395866,7.189829623,1.55881971,9.704520548,-4.889892348,33.26107803,Weekend,37.58034859,
,69.22612813,34.16357332,13.16764432,8.168286366,2.218844237,11.50777989,-2.548131774,47.57167461,Weekend,10.12894499,
,60.39184951,21.90231275,16.34482009,9.698839312,3.39709789,9.048779462,-2.222487532,46.65859498,Weekend,86.00099647,
,60.57526674,27.22129223,13.55400992,8.890262556,3.141042441,7.768659581,-3.655293006,61.07192128,Weekend,39.21456412,
,59.7590817,29.13630707,17.53249115,2.579953954,1.482690635,9.027638901,-1.516801519,38.62424674,Weekend,66.07444995,
,73.40816515,35.70052307,16.11943075,11.10983028,2.182184481,8.296196566,-4.142710333,68.53482008,Weekend,37.47455768,
,57.59732741,23.26194349,13.40152617,9.197636033,3.26834651,8.467875213,-0.417061351,49.81321882,Weekend,89.08207077,
,89.68294399,51.23370812,11.42514087,12.98039626,6.475122077,7.568576675,0.304110906,51.70503482,Weekday,23.48284775,
,110.3998948,52.05911015,26.0171758,15.95312244,6.205914674,10.16457175,-2.2653816,54.63038063,Weekday,98.25450536,
,78.49317249,40.91567498,22.13221916,4.151141774,1.446427603,9.847708973,-5.192083179,39.82281939,Weekday,51.54432453,
,103.7467459,55.17425265,20.13180678,13.36243637,4.370007134,10.70824292,0.804767725,61.1396748,Weekday,86.93088059,
,104.4464153,54.55770569,20.23871882,16.59217178,5.420210259,7.63760871,-2.154313082,54.07384883,Weekday,80.94062676,
,97.01149411,52.60240309,24.22724829,8.262387534,2.442950382,9.476504818,-3.492266051,30.72631979,Weekday,42.30867413,
,105.1593952,56.80743067,20.51466286,12.77307235,2.817344827,12.24688453,-2.827829541,61.31113652,Weekday,18.68135083,
,98.88252661,52.94410922,18.68487259,13.47897686,3.253641441,10.52092649,-2.838771541,52.57183272,Weekday,19.51108678,
,209.0314593,88.91561536,47.69138021,40.24860414,19.87911583,12.29674375,0.163321412,58.80598153,Weekday,74.69050054,
,212.4393971,100.2039627,48.71499155,37.9421706,17.73775378,7.840518484,-0.739054333,56.35384104,Weekday,58.0263868,
,222.8703505,93.50255247,50.55757466,41.02142349,25.65192162,12.13687829,-0.155428628,38.54914205,Weekday,67.35802865,
,207.1626829,89.54287454,41.11703765,44.36265685,18.52136576,13.61874814,-2.628722949,69.89888661,Weekday,93.60572204,
,217.9067273,95.85950208,48.13954696,34.99814587,23.74812999,15.16140235,-3.298868615,37.0833989,Weekday,42.35318751,
,230.181755,93.77094336,55.64319566,43.81718072,24.14178648,12.80864882,0.089053259,64.08379871,Weekday,87.02133347,
,197.2078559,93.02305105,44.23385153,42.0635213,9.360015904,8.527416111,-3.604909772,45.16820088,Weekday,95.82078749,
,249.89274,118.3207909,55.24051058,43.80594792,22.03486355,10.49062706,-1.977753308,50.78221534,Weekday,11.53766301,
,92.22094971,42.71280771,23.04252994,10.01280935,3.65958683,12.79321589,-7.443428424,49.858931,Weekday,83.8574874,
,92.95358967,50.09514127,21.2951891,11.01709083,7.368562391,3.177606073,0.243324922,41.76522116,Weekday,18.6655658,
,99.78182212,51.27545675,22.52100601,8.724332567,6.035399958,11.22562683,-2.475659738,56.07936268,Weekday,58.45205835,
,90.60549103,50.42461698,19.67389526,7.909700803,3.148311899,9.448966087,-1.205622834,38.9198028,Weekday,91.14035846,
,99.85902572,52.03628755,28.48257574,7.931551862,2.653925957,8.754684619,-2.080242429,36.12946158,Weekday,9.894335715,
,92.09945011,50.41379108,16.7136887,14.95550762,2.399292166,7.617170537,0.455555441,33.32841281,Weekday,92.97503157,
,91.43956603,52.98300142,18.53147083,9.272120455,5.62637482,5.026598506,-5.957763499,69.1371426,Weekday,78.68034173,
,87.90408183,51.6377982,12.31537799,13.00802402,2.490195491,8.452686133,-0.344005391,38.7825998,Weekday,7.128336914,
,85.5177349,48.95002396,17.26508766,10.62383148,-0.164552347,8.843344158,-4.561573709,37.48049613,Weekday,46.3227472,
,88.61082848,50.51062028,16.59501461,9.739562235,3.439810231,8.325821123,-1.368240768,50.79157679,Weekday,14.38965547,
,90.70199492,46.6439348,15.84455204,13.99214175,3.245471348,10.97589498,-3.542307888,52.51845888,Weekday,3.246715198,
,92.78778542,50.72598912,17.07369592,10.01429065,2.593853562,12.37995617,-3.896306317,63.79593334,Weekday,99.68155783,
,103.1498569,55.22827382,20.04903386,13.97603313,3.437297124,10.45921898,-3.379125941,40.75124598,Weekday,59.24345989,
,95.9802139,55.79120521,20.41503218,6.84732774,7.552862691,5.373786082,-5.094159994,47.23045026,Weekday,23.07586561,
,88.70855639,42.74385885,24.87250874,7.741055266,5.697184875,7.653948656,-3.333910598,47.98596951,Weekday,54.45198033,
