Time,Use [kW],Dishwasher [kW],Furnace [kW],HVAC [kW],Fridge [kW],Outdoor Temp [°C],Humidity [%],Wind Speed [km/h],Day Type,Season,Cloud Cover [%]
01/01/2023 0:00,6.938193197,1.992290484,2.7909943,0,0.105236998,12.61,34.57,7.51,Weekend,Winter,0.83
01/01/2023 1:00,3.892732553,0.659084267,1.076485821,0,0.170988895,17.7,64,10.78,Weekend,Winter,0.01
01/01/2023 2:00,5.596960718,0.763242088,2.416752747,0,0.352197028,8.33,59.5,10.72,Weekend,Winter,0.1
01/01/2023 3:00,5.337825313,1.236075049,1.495222628,0,0.454224649,20.92,60.43,13.83,Weekend,Winter,0.81
01/01/2023 4:00,4.95631542,1.436882949,1.189735684,0,0.353112124,16.58,37.13,12.93,Weekend,Winter,0.53
01/01/2023 5:00,5.941566173,0.78405907,2.815265556,0,0.365655243,14.37,49.81,14.78,Weekend,Winter,0.66
01/01/2023 6:00,5.640523024,1.809859034,1.531214066,0,0.141528642,19.95,31.1,8.93,Weekend,Winter,0.75
01/01/2023 7:00,4.964927149,1.120007978,1.402231501,0,0.365944196,-3.16,42.6,6.01,Weekend,Winter,0.3
01/01/2023 8:00,5.152874607,0.900780153,2.017303206,0,0.281738687,13.99,43.92,3.6,Weekend,Winter,0.3
01/01/2023 9:00,4.491880206,1.293345506,0.783702603,0,0.360576093,3.03,66.55,3.66,Weekend,Winter,0.26
01/01/2023 10:00,5.064113783,1.905607696,0.974378612,0,0.230469244,15.29,69.71,2.26,Weekend,Winter,0.17
01/01/2023 11:00,6.671263499,1.589104589,2.796137509,0,0.332594377,7.76,54.71,10.9,Weekend,Winter,0.3
01/01/2023 12:00,4.409439743,0.080026261,2.035589536,0,0.269627719,8.44,50.67,9.81,Weekend,Winter,0.95
01/01/2023 13:00,5.276658063,0.664619821,2.479911443,0,0.323454822,1.67,47.6,4.38,Weekend,Winter,0.09
01/01/2023 14:00,3.74076868,0.94108937,0.813335286,0,0.158835807,26.16,30.73,13.38,Weekend,Winter,0.24
01/01/2023 15:00,4.462506903,0.629035144,1.63137057,0,0.258329941,8.22,62,8.28,Weekend,Winter,0.32
01/01/2023 16:00,6.462992273,1.400375122,2.914188801,0,0.249711463,8.76,56.87,1.04,Weekend,Winter,0.15
01/01/2023 17:00,5.034632538,1.6525383,0.956111697,0,0.394557808,30.31,55.97,0.92,Weekend,Winter,0.08
01/01/2023 18:00,4.235881017,1.46269019,0.481429429,0,0.382563806,20.68,62.36,2.15,Weekend,Winter,0.16
01/01/2023 19:00,5.833637702,1.978666574,1.532658025,0,0.463543474,-5.35,67.12,3.17,Weekend,Winter,0.53
01/01/2023 20:00,4.207945676,0.545095296,1.163463266,0,0.352822237,28.85,45.58,13.31,Weekend,Winter,0.6
