Time,Use [kW],Day Type,Season,Outdoor Temp [°C],Humidity [%],Lighting [kW],Computers [kW],HVAC [kW],Employees Present
01/01/2023 0:00,10.1,Weekend,Winter,7,63.96283197,1.8,2.3,4.5,7
01/01/2023 1:00,25.3,Weekend,Winter,1.1,57.1419718,5,5.2,10.9,6
01/01/2023 2:00,30.3,Weekend,Winter,2.3,37.24140149,4.7,7.7,14,2
01/01/2023 3:00,32.3,Weekend,Winter,7.6,47.46930478,4.4,8.6,14,8
01/01/2023 4:00,45.8,Weekend,Winter,7,53.93353815,5.6,11.4,20.2,2
01/01/2023 5:00,14.6,Weekend,Winter,0.5,40.58274797,1.6,3.5,5.2,0
01/01/2023 6:00,-2.7,Weekend,Winter,3,61.53319691,-0.4,-0.7,-1.2,5
01/01/2023 7:00,21,Weekend,Winter,8.8,48.75254541,3.3,5.3,6.4,5
01/01/2023 8:00,32.3,Weekend,Winter,7,64.98042183,5.6,9.6,11.2,7
01/01/2023 9:00,31.6,Weekend,Winter,4.3,54.2007758,6.2,6.8,13.7,4
01/01/2023 10:00,45.8,Weekend,Winter,6.3,43.40861071,7.7,11.2,19.8,8
01/01/2023 11:00,44.5,Weekend,Winter,5.3,47.26790519,6,11.4,14.9,5
01/01/2023 12:00,4.1,Weekend,Winter,3.4,50.83091069,0.4,1,1.3,5
01/01/2023 13:00,39.7,Weekend,Winter,3.1,42.12649525,7.9,10.8,14.9,4
01/01/2023 14:00,9.9,Weekend,Winter,10.1,60.0930162,1.8,2.3,3.7,8
01/01/2023 15:00,4,Weekend,Winter,3.3,38.10287857,0.5,1,1.9,6
01/01/2023 16:00,46.6,Weekend,Winter,5.6,41.22203127,8.6,13.4,16.9,6
01/01/2023 17:00,43,Weekend,Winter,-0.4,45.55340071,6.6,10.5,13.1,6
01/01/2023 18:00,5.7,Weekend,Winter,12.4,57.63950411,1.1,1.6,2.7,5
01/01/2023 19:00,24.4,Weekend,Winter,11,63.55141712,4.9,5.4,10.6,5
01/01/2023 20:00,52.8,Weekend,Winter,2.5,64.89863112,7.3,13.5,21.4,1
01/01/2023 21:00,25.8,Weekend,Winter,8.4,57.85535063,3.1,6.9,8.1,5
01/01/2023 22:00,27.6,Weekend,Winter,8.6,44.69333781,4.8,6.1,10.3,8
01/01/2023 23:00,61.5,Weekend,Winter,3.4,32.8498818,7.6,14.2,26,4
02/01/2023 0:00,61.1,Weekday,Winter,7.1,58.48914823,6.8,17.4,29.6,3
02/01/2023 1:00,61.1,Weekday,Winter,1.2,62.39373965,8,14.4,25.3,5
02/01/2023 2:00,39.8,Weekday,Winter,5.3,44.52636883,6.3,10.4,18.2,8
02/01/2023 3:00,30.6,Weekday,Winter,6.7,65.52526599,5,8.3,11.5,6
02/01/2023 4:00,63.8,Weekday,Winter,5.8,48.97957612,8.6,15,29.7,7
02/01/2023 5:00,28.3,Weekday,Winter,5.6,45.45894498,5,6.2,11.2,6
02/01/2023 6:00,60.2,Weekday,Winter,3.8,49.80529006,7,17.9,20.1,4
02/01/2023 7:00,62,Weekday,Winter,5.7,42.14730709,9,13.7,19.4,5
02/01/2023 8:00,35.7,Weekday,Winter,7,36.0827762,6.8,10.1,12.5,2
02/01/2023 9:00,180.9,Weekday,Winter,1,38.45237277,28.2,52,56.6,42
02/01/2023 10:00,202.1,Weekday,Winter,5,52.56622447,35.6,54.5,65,44
02/01/2023 11:00,172.4,Weekday,Winter,7.7,41.29476427,33.9,41.1,70.5,49
02/01/2023 12:00,244.9,Weekday,Winter,12.2,64.01431173,28.7,65,119.3,50
02/01/2023 13:00,229.9,Weekday,Winter,12.1,51.85236717,39,60.9,102.4,41
02/01/2023 14:00,226.6,Weekday,Winter,3.4,45.9181441,41.8,65.2,93.9,52
02/01/2023 15:00,199.5,Weekday,Winter,6.4,36.82282039,20.5,46.4,99.7,18
02/01/2023 16:00,180.1,Weekday,Winter,6.2,40.04489253,20.6,49.5,77.9,57
