Time,Use [kW],Day Type,Season,Outdoor Temp [°C],Humidity [%],Lighting [kW],Computers [kW],HVAC [kW],Employees Present,Cloud Cover [%]
01/01/2023 0:00,10.1014645,Weekend,Winter,7,63.96283197,1.8,2.3,4.5,7,0.29
01/01/2023 1:00,25.31078989,Weekend,Winter,1.1,57.1419718,5,5.2,10.9,6,0.852956114
01/01/2023 2:00,30.30416612,Weekend,Winter,2.3,37.24140149,4.7,7.7,14,2,0.27499113
01/01/2023 3:00,32.47036037,Weekend,Winter,7.6,47.46930478,4.4,8.6,14,8,10.54862959
01/01/2023 4:00,45.81832,Weekend,Winter,7,53.93353815,5.6,11.4,20.2,2,0.8
01/01/2023 5:00,14.60500367,Weekend,Winter,0.5,40.58274797,1.6,3.5,5.2,0,0.685433825
01/01/2023 6:00,0,Weekend,Winter,3,61.53319691,-0.4,-0.7,-1.2,5,0.4
01/01/2023 7:00,21.00566263,Weekend,Winter,8.8,48.75254541,3.3,5.3,6.4,5,0.539298264
01/01/2023 8:00,32.30795751,Weekend,Winter,7,64.98042183,5.6,9.6,11.2,7,0.492725007
01/01/2023 9:00,32.9016423,Weekend,Winter,4.3,54.2007758,6.2,6.8,13.7,4,82.38242395
01/01/2023 10:00,46.6620654,Weekend,Winter,6.3,43.40861071,7.7,11.2,19.8,8,37.64477734
01/01/2023 11:00,44.507565,Weekend,Winter,5.3,47.26790519,6,11.4,14.9,5,0.34
01/01/2023 12:00,4.100420424,Weekend,Winter,3.4,50.83091069,0.4,1,1.3,5,0.205084832
01/01/2023 13:00,39.70843057,Weekend,Winter,3.1,42.12649525,7.9,10.8,14.9,4,0.424713677
01/01/2023 14:00,9.90241608,Weekend,Winter,10.1,60.0930162,1.8,2.3,3.7,8,0.488097016
01/01/2023 15:00,4.001657221,Weekend,Winter,3.3,38.10287857,0.5,1,1.9,6,0.828610388
01/01/2023 16:00,46.6051409,Weekend,Winter,5.6,41.22203127,8.6,13.4,16.9,6,0.220639443
01/01/2023 17:00,43.0122243,Weekend,Winter,-0.4,45.55340071,6.6,10.5,13.1,6,0.568572153
01/01/2023 18:00,5.702228832,Weekend,Winter,12.4,57.63950411,1.1,1.6,2.7,5,0.782046303
01/01/2023 19:00,24.4021393,Weekend,Winter,11,63.55141712,4.9,5.4,10.6,5,0.17535276
01/01/2023 20:00,52.80642409,Weekend,Winter,2.5,64.89863112,7.3,13.5,21.4,1,0.243336885
01/01/2023 21:00,25.80923574,Weekend,Winter,8.4,57.85535063,3.1,6.9,8.1,5,0.71594852
01/01/2023 22:00,27.61033328,Weekend,Winter,8.6,44.69333781,4.8,6.1,10.3,8,0.748788109
01/01/2023 23:00,61.52135216,Weekend,Winter,3.4,32.8498818,7.6,14.2,26,4,0.694379199
01/02/2023 0:00,61.11894726,Weekday,Winter,7.1,58.48914823,6.8,17.4,29.6,3,0.620204832
01/02/2023 1:00,61.11984461,Weekday,Winter,1.2,62.39373965,8,14.4,25.3,5,0.649578036
01/02/2023 2:00,39.81474916,Weekday,Winter,5.3,44.52636883,6.3,10.4,18.2,8,0.741164003
01/02/2023 3:00,30.60693848,Weekday,Winter,6.7,65.52526599,5,8.3,11.5,6,0.453495474
01/02/2023 4:00,63.80698489,Weekday,Winter,5.8,48.97957612,8.6,15,29.7,7,0.218962125
01/02/2023 5:00,28.31169791,Weekday,Winter,5.6,45.45894498,5,6.2,11.2,6,0.82670736
01/02/2023 6:00,60.20139593,Weekday,Winter,3.8,49.80529006,7,17.9,20.1,4,0.046376354
01/02/2023 7:00,62.02311261,Weekday,Winter,5.7,42.14730709,9,13.7,19.4,5,0.745567952
01/02/2023 8:00,35.70767907,Weekday,Winter,7,36.0827762,6.8,10.1,12.5,2,0.430200097
01/02/2023 9:00,180.911854,Weekday,Winter,1,38.45237277,28.2,52,56.6,42,0.131055743
